Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:03:44;;Android;;;;sessionStart;;lh74LzAeNKP4Fir;ella_ultra;
13:03:54;;Android;;;;exerciseStart;Biceps Curl;lh74LzAeNKP4Fir;ella_ultra;
13:03:54;2022-03-03T13:03:54.852Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:03:54;2022-03-03T13:03:54.888Z;gyro_bench_top;0.09;0.5;1.52;;;;;
13:03:54;2022-03-03T13:03:54.914Z;ultrasonic_foot_3-4;107.0;;;;;;;
13:03:54;2022-03-03T13:03:54.930Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:03:54;2022-03-03T13:03:54.978Z;gyro_cable_right;-0.0;0.01;1.01;;;;;
13:03:55;2022-03-03T13:03:54.966Z;gyro_bench_legs;-0.0;-0.01;1.01;;;;;
13:03:55;2022-03-03T13:03:54.993Z;ultrasonic_cable_left;162.0;;;;;;;
13:03:55;2022-03-03T13:03:54.992Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:03:55;2022-03-03T13:03:55.009Z;ultrasonic_cable_right;202.0;;;;;;;
13:03:55;2022-03-03T13:03:54.997Z;ultrasonic_top;170.0;;;;;;;
13:03:55;2022-03-03T13:03:55.009Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:03:55;2022-03-03T13:03:55.062Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:03:55;2022-03-03T13:03:55.097Z;gyro_bench_top;0.04;0.47;1.52;;;;;
13:03:55;2022-03-03T13:03:55.139Z;gyro_bar;0.0;-0.0;0.99;;;;;
13:03:55;2022-03-03T13:03:55.143Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:03:55;2022-03-03T13:03:55.187Z;gyro_cable_right;0.0;-0.0;1.01;;;;;
13:03:55;2022-03-03T13:03:55.175Z;gyro_bench_legs;0.0;-0.0;1.01;;;;;
13:03:55;2022-03-03T13:03:55.222Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:03:55;2022-03-03T13:03:55.226Z;ultrasonic_cable_left;163.0;;;;;;;
13:03:55;2022-03-03T13:03:55.240Z;ultrasonic_cable_right;134.0;;;;;;;
13:03:55;2022-03-03T13:03:55.230Z;ultrasonic_top;169.0;;;;;;;
13:03:55;2022-03-03T13:03:55.238Z;ultrasonic_foot_1-2;103.0;;;;;;;
13:03:55;2022-03-03T13:03:55.271Z;gyro_cable_left;-0.0;0.0;1.0;;;;;
13:03:55;2022-03-03T13:03:55.306Z;gyro_bench_top;0.05;0.49;1.5;;;;;
13:03:55;2022-03-03T13:03:55.348Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:03:55;2022-03-03T13:03:55.372Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:03:55;2022-03-03T13:03:55.396Z;gyro_cable_right;-0.0;0.01;1.01;;;;;
13:03:55;2022-03-03T13:03:55.384Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:03:55;2022-03-03T13:03:55.452Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:03:55;2022-03-03T13:03:55.458Z;ultrasonic_cable_left;149.0;;;;;;;
13:03:55;2022-03-03T13:03:55.480Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:03:55;2022-03-03T13:03:55.473Z;ultrasonic_cable_right;164.0;;;;;;;
13:03:55;2022-03-03T13:03:55.468Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:03:55;2022-03-03T13:03:55.515Z;gyro_bench_top;0.02;0.42;1.48;;;;;
13:03:55;2022-03-03T13:03:55.557Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:03:55;2022-03-03T13:03:55.605Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
13:03:55;2022-03-03T13:03:55.602Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:03:55;2022-03-03T13:03:55.593Z;gyro_bench_legs;0.0;-0.01;0.99;;;;;
13:03:55;2022-03-03T13:03:55.463Z;ultrasonic_top;155.0;;;;;;;
13:03:55;2022-03-03T13:03:55.689Z;gyro_cable_left;-0.0;0.0;1.0;;;;;
13:03:55;2022-03-03T13:03:55.682Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:03:55;2022-03-03T13:03:55.691Z;ultrasonic_cable_left;160.0;;;;;;;
13:03:55;2022-03-03T13:03:55.705Z;ultrasonic_cable_right;148.0;;;;;;;
