Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
12:56:17;;Android;;;;sessionStart;;StLDaFDVtpVBMLV;ella_ultra;
12:56:28;;Android;;;;exerciseStart;Trizepskabelzug;StLDaFDVtpVBMLV;ella_ultra;
12:56:28;2022-03-03T12:56:28.152Z;ultrasonic_foot_5-6;116.0;;;;;;;
12:56:28;2022-03-03T12:56:28.202Z;ultrasonic_top;142.0;;;;;;;
12:56:28;2022-03-03T12:56:28.182Z;gyro_bar;0.0;0.0;1.0;;;;;
12:56:28;2022-03-03T12:56:28.225Z;gyro_bench_top;0.3;0.26;-6.18;;;;;
12:56:28;2022-03-03T12:56:28.159Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:56:28;2022-03-03T12:56:28.154Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:56:28;2022-03-03T12:56:28.247Z;ultrasonic_cable_right;201.0;;;;;;;
12:56:28;2022-03-03T12:56:28.234Z;gyro_cable_right;0.0;0.0;1.01;;;;;
12:56:28;2022-03-03T12:56:28.253Z;gyro_cable_left;-0.0;0.01;1.01;;;;;
12:56:28;2022-03-03T12:56:28.293Z;gyro_bench_legs;0.01;-0.01;1.01;;;;;
12:56:28;2022-03-03T12:56:28.245Z;ultrasonic_cable_left;202.0;;;;;;;
12:56:28;2022-03-03T12:56:28.382Z;ultrasonic_foot_5-6;116.0;;;;;;;
12:56:28;2022-03-03T12:56:28.391Z;gyro_bar;0.0;-0.0;1.0;;;;;
12:56:28;2022-03-03T12:56:28.434Z;gyro_bench_top;0.28;0.26;-6.07;;;;;
12:56:28;2022-03-03T12:56:28.383Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:56:28;2022-03-03T12:56:28.389Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:56:28;2022-03-03T12:56:28.443Z;gyro_cable_right;0.0;0.01;1.0;;;;;
12:56:28;2022-03-03T12:56:28.462Z;gyro_cable_left;0.03;0.0;1.0;;;;;
12:56:28;2022-03-03T12:56:28.438Z;ultrasonic_top;213.0;;;;;;;
12:56:28;2022-03-03T12:56:28.502Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
12:56:28;2022-03-03T12:56:28.498Z;ultrasonic_cable_right;477.0;;;;;;;
12:56:28;2022-03-03T12:56:28.480Z;ultrasonic_cable_left;201.0;;;;;;;
12:56:28;2022-03-03T12:56:28.600Z;gyro_bar;-0.0;-0.0;0.99;;;;;
12:56:28;2022-03-03T12:56:28.643Z;gyro_bench_top;0.25;0.23;-6.12;;;;;
12:56:28;2022-03-03T12:56:28.612Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:56:28;2022-03-03T12:56:28.613Z;ultrasonic_foot_5-6;116.0;;;;;;;
12:56:28;2022-03-03T12:56:28.674Z;ultrasonic_top;213.0;;;;;;;
12:56:28;2022-03-03T12:56:28.619Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:56:28;2022-03-03T12:56:28.652Z;gyro_cable_right;0.0;-0.01;1.01;;;;;
12:56:28;2022-03-03T12:56:28.671Z;gyro_cable_left;-0.02;-0.0;0.98;;;;;
12:56:28;2022-03-03T12:56:28.711Z;gyro_bench_legs;0.0;-0.01;1.01;;;;;
12:56:28;2022-03-03T12:56:28.715Z;ultrasonic_cable_left;208.0;;;;;;;
12:56:28;2022-03-03T12:56:28.771Z;ultrasonic_cable_right;849.0;;;;;;;
12:56:28;2022-03-03T12:56:28.809Z;gyro_bar;0.0;-0.01;1.0;;;;;
12:56:28;2022-03-03T12:56:28.852Z;gyro_bench_top;0.2;0.22;-6.11;;;;;
12:56:28;2022-03-03T12:56:28.861Z;gyro_cable_right;0.0;0.01;1.01;;;;;
12:56:28;2022-03-03T12:56:28.880Z;gyro_cable_left;-0.02;-0.01;0.99;;;;;
12:56:28;2022-03-03T12:56:28.842Z;ultrasonic_foot_5-6;116.0;;;;;;;
12:56:28;2022-03-03T12:56:28.910Z;ultrasonic_top;212.0;;;;;;;
12:56:28;2022-03-03T12:56:28.920Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
12:56:29;2022-03-03T12:56:28.849Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:56:29;2022-03-03T12:56:28.841Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:56:29;2022-03-03T12:56:28.951Z;ultrasonic_cable_left;210.0;;;;;;;
12:56:29;2022-03-03T12:56:29.006Z;ultrasonic_cable_right;192.0;;;;;;;
12:56:29;2022-03-03T12:56:29.018Z;gyro_bar;-0.0;-0.01;1.0;;;;;
12:56:29;2022-03-03T12:56:29.061Z;gyro_bench_top;0.23;0.21;-6.13;;;;;
