Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
11:30:55;;Android;;;;sessionStart;;i2u936GXb6tV4jx;ella_;
11:31:06;;Android;;;;exerciseStart;Squats;i2u936GXb6tV4jx;ella_;
11:31:07;2022-03-03T11:31:06.958Z;gyro_bar;-0.0;0.0;1.0;;;;;
11:31:07;2022-03-03T11:31:06.915Z;gyro_cable_right;-0.01;-0.0;1.01;;;;;
11:31:07;2022-03-03T11:31:06.979Z;ultrasonic_foot_5-6;111.0;;;;;;;
11:31:07;2022-03-03T11:31:07.027Z;ultrasonic_cable_left;195.0;;;;;;;
11:31:07;2022-03-03T11:31:07.024Z;ultrasonic_cable_right;172.0;;;;;;;
11:31:07;2022-03-03T11:31:07.069Z;ultrasonic_foot_3-4;107.0;;;;;;;
11:31:07;2022-03-03T11:31:07.066Z;ultrasonic_foot_1-2;104.0;;;;;;;
11:31:07;2022-03-03T11:31:07.092Z;gyro_cable_left;-0.02;-0.01;1.0;;;;;
11:31:07;2022-03-03T11:31:07.167Z;gyro_bar;0.0;-0.0;1.0;;;;;
11:31:07;2022-03-03T11:31:07.124Z;gyro_cable_right;-0.0;-0.0;1.01;;;;;
11:31:07;2022-03-03T11:31:07.209Z;ultrasonic_foot_5-6;111.0;;;;;;;
11:31:07;2022-03-03T11:31:07.260Z;ultrasonic_cable_left;162.0;;;;;;;
11:31:07;2022-03-03T11:31:07.262Z;ultrasonic_cable_right;255.0;;;;;;;
11:31:07;2022-03-03T11:31:07.295Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:07;2022-03-03T11:31:07.301Z;gyro_cable_left;-0.01;0.0;1.01;;;;;
11:31:07;2022-03-03T11:31:07.299Z;ultrasonic_foot_3-4;107.0;;;;;;;
11:31:07;2022-03-03T11:31:07.376Z;gyro_bar;0.0;0.0;1.01;;;;;
11:31:07;2022-03-03T11:31:07.333Z;gyro_cable_right;-0.0;-0.01;1.0;;;;;
11:31:07;2022-03-03T11:31:07.439Z;ultrasonic_foot_5-6;111.0;;;;;;;
11:31:07;2022-03-03T11:31:07.498Z;ultrasonic_cable_left;245.0;;;;;;;
11:31:07;2022-03-03T11:31:07.510Z;gyro_cable_left;0.02;0.0;1.0;;;;;
11:31:07;2022-03-03T11:31:07.495Z;ultrasonic_cable_right;170.0;;;;;;;
11:31:07;2022-03-03T11:31:07.529Z;ultrasonic_foot_3-4;108.0;;;;;;;
11:31:07;2022-03-03T11:31:07.525Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:07;2022-03-03T11:31:07.585Z;gyro_bar;-0.0;-0.0;1.0;;;;;
11:31:07;2022-03-03T11:31:07.542Z;gyro_cable_right;0.0;-0.01;1.0;;;;;
11:31:07;2022-03-03T11:31:07.669Z;ultrasonic_foot_5-6;110.0;;;;;;;
11:31:07;2022-03-03T11:31:07.719Z;gyro_cable_left;0.01;-0.0;1.0;;;;;
11:31:07;2022-03-03T11:31:07.731Z;ultrasonic_cable_left;177.0;;;;;;;
11:31:07;2022-03-03T11:31:07.728Z;ultrasonic_cable_right;171.0;;;;;;;
11:31:07;2022-03-03T11:31:07.754Z;ultrasonic_foot_1-2;104.0;;;;;;;
11:31:07;2022-03-03T11:31:07.794Z;gyro_bar;-0.0;-0.0;0.99;;;;;
11:31:07;2022-03-03T11:31:07.759Z;ultrasonic_foot_3-4;109.0;;;;;;;
11:31:07;2022-03-03T11:31:07.751Z;gyro_cable_right;0.0;-0.01;1.0;;;;;
11:31:07;2022-03-03T11:31:07.899Z;ultrasonic_foot_5-6;110.0;;;;;;;
11:31:07;2022-03-03T11:31:07.928Z;gyro_cable_left;-0.01;-0.01;0.99;;;;;
11:31:07;2022-03-03T11:31:07.964Z;ultrasonic_cable_left;158.0;;;;;;;
11:31:08;2022-03-03T11:31:07.961Z;ultrasonic_cable_right;169.0;;;;;;;
11:31:08;2022-03-03T11:31:08.003Z;gyro_bar;0.0;0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:07.989Z;ultrasonic_foot_3-4;108.0;;;;;;;
11:31:08;2022-03-03T11:31:07.983Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:08;2022-03-03T11:31:07.960Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.129Z;ultrasonic_foot_5-6;110.0;;;;;;;
11:31:08;2022-03-03T11:31:08.137Z;gyro_cable_left;-0.01;0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.197Z;ultrasonic_cable_left;177.0;;;;;;;
11:31:08;2022-03-03T11:31:08.212Z;gyro_bar;0.0;0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.199Z;ultrasonic_cable_right;246.0;;;;;;;
11:31:08;2022-03-03T11:31:08.212Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:08;2022-03-03T11:31:08.219Z;ultrasonic_foot_3-4;108.0;;;;;;;
11:31:08;2022-03-03T11:31:08.169Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.346Z;gyro_cable_left;0.01;0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.359Z;ultrasonic_foot_5-6;110.0;;;;;;;
11:31:08;2022-03-03T11:31:08.421Z;gyro_bar;-0.0;-0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.435Z;ultrasonic_cable_left;246.0;;;;;;;
11:31:08;2022-03-03T11:31:08.378Z;gyro_cable_right;0.0;0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.449Z;ultrasonic_foot_3-4;108.0;;;;;;;
11:31:08;2022-03-03T11:31:08.432Z;ultrasonic_cable_right;172.0;;;;;;;
11:31:08;2022-03-03T11:31:08.441Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:08;2022-03-03T11:31:08.555Z;gyro_cable_left;0.02;0.0;1.01;;;;;
11:31:08;2022-03-03T11:31:08.589Z;ultrasonic_foot_5-6;114.0;;;;;;;
11:31:08;2022-03-03T11:31:08.630Z;gyro_bar;-0.0;-0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.587Z;gyro_cable_right;-0.0;-0.0;1.01;;;;;
11:31:08;2022-03-03T11:31:08.669Z;ultrasonic_cable_left;177.0;;;;;;;
11:31:08;2022-03-03T11:31:08.670Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:08;2022-03-03T11:31:08.679Z;ultrasonic_foot_3-4;107.0;;;;;;;
11:31:08;2022-03-03T11:31:08.665Z;ultrasonic_cable_right;172.0;;;;;;;
11:31:08;2022-03-03T11:31:08.764Z;gyro_cable_left;-0.01;-0.01;1.0;;;;;
11:31:08;2022-03-03T11:31:08.819Z;ultrasonic_foot_5-6;114.0;;;;;;;
11:31:08;2022-03-03T11:31:08.839Z;gyro_bar;0.0;-0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.796Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
11:31:08;2022-03-03T11:31:08.901Z;ultrasonic_cable_left;158.0;;;;;;;
11:31:08;2022-03-03T11:31:08.899Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:08;2022-03-03T11:31:08.908Z;ultrasonic_foot_3-4;107.0;;;;;;;
11:31:08;2022-03-03T11:31:08.898Z;ultrasonic_cable_right;169.0;;;;;;;
11:31:08;2022-03-03T11:31:08.973Z;gyro_cable_left;-0.02;-0.01;1.0;;;;;
11:31:09;2022-03-03T11:31:09.048Z;gyro_bar;-0.0;-0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.049Z;ultrasonic_foot_5-6;109.0;;;;;;;
11:31:09;2022-03-03T11:31:09.005Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.131Z;ultrasonic_cable_right;172.0;;;;;;;
11:31:09;2022-03-03T11:31:09.129Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:09;2022-03-03T11:31:09.134Z;ultrasonic_cable_left;175.0;;;;;;;
11:31:09;2022-03-03T11:31:09.138Z;ultrasonic_foot_3-4;107.0;;;;;;;
11:31:09;2022-03-03T11:31:09.182Z;gyro_cable_left;-0.02;-0.01;1.0;;;;;
11:31:09;2022-03-03T11:31:09.257Z;gyro_bar;0.01;0.0;0.99;;;;;
11:31:09;2022-03-03T11:31:09.214Z;gyro_cable_right;-0.01;-0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.279Z;ultrasonic_foot_5-6;109.0;;;;;;;
11:31:09;2022-03-03T11:31:09.367Z;ultrasonic_cable_left;176.0;;;;;;;
11:31:09;2022-03-03T11:31:09.358Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:09;2022-03-03T11:31:09.368Z;ultrasonic_foot_3-4;107.0;;;;;;;
11:31:09;2022-03-03T11:31:09.364Z;ultrasonic_cable_right;171.0;;;;;;;
11:31:09;2022-03-03T11:31:09.391Z;gyro_cable_left;0.02;0.01;1.01;;;;;
11:31:09;2022-03-03T11:31:09.466Z;gyro_bar;-0.0;0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.423Z;gyro_cable_right;0.0;-0.01;1.0;;;;;
11:31:09;2022-03-03T11:31:09.509Z;ultrasonic_foot_5-6;109.0;;;;;;;
11:31:09;2022-03-03T11:31:09.600Z;gyro_cable_left;0.01;0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.598Z;ultrasonic_foot_3-4;107.0;;;;;;;
11:31:09;2022-03-03T11:31:09.598Z;ultrasonic_cable_left;151.0;;;;;;;
11:31:09;2022-03-03T11:31:09.587Z;ultrasonic_foot_1-2;102.0;;;;;;;
11:31:09;2022-03-03T11:31:09.602Z;ultrasonic_cable_right;247.0;;;;;;;
11:31:09;2022-03-03T11:31:09.675Z;gyro_bar;-0.0;0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.632Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.739Z;ultrasonic_foot_5-6;113.0;;;;;;;
11:31:09;2022-03-03T11:31:09.809Z;gyro_cable_left;-0.01;-0.01;1.0;;;;;
11:31:09;2022-03-03T11:31:09.817Z;ultrasonic_foot_1-2;104.0;;;;;;;
11:31:09;2022-03-03T11:31:09.838Z;ultrasonic_cable_left;280.0;;;;;;;
11:31:09;2022-03-03T11:31:09.832Z;ultrasonic_foot_3-4;188.0;;;;;;;
11:31:09;2022-03-03T11:31:09.884Z;gyro_bar;-0.0;0.0;0.99;;;;;
11:31:09;2022-03-03T11:31:09.841Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
11:31:09;2022-03-03T11:31:09.834Z;ultrasonic_cable_right;142.0;;;;;;;
11:31:09;2022-03-03T11:31:09.969Z;ultrasonic_foot_5-6;110.0;;;;;;;
