Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:18:37;;Android;;;;sessionStart;;woLNEwxYQdyjpb3;ella_ultra;
13:18:54;;Android;;;;exerciseStart;Ausfallschritte;woLNEwxYQdyjpb3;ella_ultra;
13:18:54;2022-03-03T13:18:54.054Z;ultrasonic_cable_left;214.0;;;;;;;
13:18:54;2022-03-03T13:18:54.094Z;gyro_cable_right;-0.0;-0.0;1.01;;;;;
13:18:54;2022-03-03T13:18:54.106Z;gyro_cable_left;-0.0;-0.0;1.0;;;;;
13:18:54;2022-03-03T13:18:54.102Z;ultrasonic_top;208.0;;;;;;;
13:18:54;2022-03-03T13:18:54.095Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:18:54;2022-03-03T13:18:54.089Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:18:54;2022-03-03T13:18:54.091Z;ultrasonic_foot_3-4;752.0;;;;;;;
13:18:54;2022-03-03T13:18:54.162Z;gyro_bench_legs;0.0;-0.0;1.0;;;;;
13:18:54;2022-03-03T13:18:54.153Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:18:54;2022-03-03T13:18:54.195Z;ultrasonic_cable_right;202.0;;;;;;;
13:18:54;2022-03-03T13:18:54.210Z;gyro_bench_top;-0.05;0.71;8.2;;;;;
13:18:54;2022-03-03T13:18:54.289Z;ultrasonic_cable_left;190.0;;;;;;;
13:18:54;2022-03-03T13:18:54.303Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:18:54;2022-03-03T13:18:54.315Z;gyro_cable_left;0.02;0.01;0.99;;;;;
13:18:54;2022-03-03T13:18:54.304Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:18:54;2022-03-03T13:18:54.319Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:18:54;2022-03-03T13:18:54.321Z;ultrasonic_foot_3-4;102.0;;;;;;;
13:18:54;2022-03-03T13:18:54.371Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:18:54;2022-03-03T13:18:54.337Z;ultrasonic_top;214.0;;;;;;;
13:18:54;2022-03-03T13:18:54.382Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:18:54;2022-03-03T13:18:54.419Z;gyro_bench_top;-0.05;0.66;8.19;;;;;
13:18:54;2022-03-03T13:18:54.477Z;ultrasonic_cable_right;1007.0;;;;;;;
13:18:54;2022-03-03T13:18:54.512Z;gyro_cable_right;-0.0;0.01;1.01;;;;;
13:18:54;2022-03-03T13:18:54.524Z;gyro_cable_left;0.02;0.01;1.01;;;;;
13:18:54;2022-03-03T13:18:54.513Z;gyro_bar;-0.0;-0.0;0.99;;;;;
13:18:54;2022-03-03T13:18:54.523Z;ultrasonic_cable_left;199.0;;;;;;;
13:18:54;2022-03-03T13:18:54.571Z;ultrasonic_top;185.0;;;;;;;
13:18:54;2022-03-03T13:18:54.580Z;gyro_bench_legs;0.01;-0.0;0.99;;;;;
13:18:54;2022-03-03T13:18:54.551Z;ultrasonic_foot_3-4;116.0;;;;;;;
13:18:54;2022-03-03T13:18:54.549Z;ultrasonic_foot_5-6;105.0;;;;;;;
13:18:54;2022-03-03T13:18:54.628Z;gyro_bench_top;0.04;0.71;8.13;;;;;
13:18:54;2022-03-03T13:18:54.611Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:18:54;2022-03-03T13:18:54.728Z;ultrasonic_cable_right;478.0;;;;;;;
13:18:54;2022-03-03T13:18:54.721Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:18:54;2022-03-03T13:18:54.733Z;gyro_cable_left;-0.02;-0.0;1.01;;;;;
13:18:54;2022-03-03T13:18:54.722Z;gyro_bar;-0.01;-0.0;1.01;;;;;
13:18:54;2022-03-03T13:18:54.789Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:18:54;2022-03-03T13:18:54.758Z;ultrasonic_cable_left;207.0;;;;;;;
13:18:54;2022-03-03T13:18:54.778Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:18:54;2022-03-03T13:18:54.805Z;ultrasonic_top;191.0;;;;;;;
13:18:54;2022-03-03T13:18:54.837Z;gyro_bench_top;0.0;0.74;8.11;;;;;
13:18:54;2022-03-03T13:18:54.822Z;ultrasonic_foot_3-4;820.0;;;;;;;
13:18:54;2022-03-03T13:18:54.840Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:18:54;2022-03-03T13:18:54.930Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:18:54;2022-03-03T13:18:54.942Z;gyro_cable_left;-0.02;-0.0;1.01;;;;;
13:18:54;2022-03-03T13:18:54.963Z;ultrasonic_cable_right;200.0;;;;;;;
13:18:54;2022-03-03T13:18:54.931Z;gyro_bar;0.01;-0.0;0.99;;;;;
13:18:55;2022-03-03T13:18:54.998Z;gyro_bench_legs;0.0;-0.01;0.99;;;;;
13:18:55;2022-03-03T13:18:54.993Z;ultrasonic_cable_left;192.0;;;;;;;
13:18:55;2022-03-03T13:18:55.041Z;ultrasonic_top;215.0;;;;;;;
13:18:55;2022-03-03T13:18:55.046Z;gyro_bench_top;0.04;0.76;8.18;;;;;
13:18:55;2022-03-03T13:18:55.008Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:18:55;2022-03-03T13:18:55.052Z;ultrasonic_foot_3-4;93.0;;;;;;;
13:18:55;2022-03-03T13:18:55.069Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:18:55;2022-03-03T13:18:55.139Z;gyro_cable_right;-0.0;-0.0;0.99;;;;;
13:18:55;2022-03-03T13:18:55.151Z;gyro_cable_left;0.01;0.01;1.0;;;;;
13:18:55;2022-03-03T13:18:55.140Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:18:55;2022-03-03T13:18:55.198Z;ultrasonic_cable_right;201.0;;;;;;;
13:18:55;2022-03-03T13:18:55.207Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:18:55;2022-03-03T13:18:55.255Z;gyro_bench_top;-0.02;0.75;8.16;;;;;
13:18:55;2022-03-03T13:18:55.227Z;ultrasonic_cable_left;199.0;;;;;;;
13:18:55;2022-03-03T13:18:55.238Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:18:55;2022-03-03T13:18:55.280Z;ultrasonic_foot_3-4;88.0;;;;;;;
13:18:55;2022-03-03T13:18:55.298Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:18:55;2022-03-03T13:18:55.276Z;ultrasonic_top;192.0;;;;;;;
13:18:55;2022-03-03T13:18:55.348Z;gyro_cable_right;-0.0;0.01;1.02;;;;;
13:18:55;2022-03-03T13:18:55.360Z;gyro_cable_left;0.01;-0.0;1.0;;;;;
13:18:55;2022-03-03T13:18:55.349Z;gyro_bar;-0.0;0.0;0.99;;;;;
13:18:55;2022-03-03T13:18:55.416Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:18:55;2022-03-03T13:18:55.433Z;ultrasonic_cable_right;200.0;;;;;;;
13:18:55;2022-03-03T13:18:55.464Z;gyro_bench_top;-0.01;0.76;8.21;;;;;
13:18:55;2022-03-03T13:18:55.462Z;ultrasonic_cable_left;198.0;;;;;;;
13:18:55;2022-03-03T13:18:55.511Z;ultrasonic_top;191.0;;;;;;;
13:18:55;2022-03-03T13:18:55.468Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:18:55;2022-03-03T13:18:55.527Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:18:55;2022-03-03T13:18:55.516Z;ultrasonic_foot_3-4;217.0;;;;;;;
13:18:55;2022-03-03T13:18:55.557Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:18:55;2022-03-03T13:18:55.570Z;gyro_cable_left;-0.02;-0.0;1.0;;;;;
13:18:55;2022-03-03T13:18:55.558Z;gyro_bar;0.0;0.0;1.01;;;;;
13:18:55;2022-03-03T13:18:55.625Z;gyro_bench_legs;0.0;-0.0;1.0;;;;;
13:18:55;2022-03-03T13:18:55.668Z;ultrasonic_cable_right;200.0;;;;;;;
13:18:55;2022-03-03T13:18:55.673Z;gyro_bench_top;-0.02;0.78;8.14;;;;;
13:18:55;2022-03-03T13:18:55.697Z;ultrasonic_cable_left;199.0;;;;;;;
13:18:55;2022-03-03T13:18:55.744Z;ultrasonic_top;187.0;;;;;;;
