Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:34:37;;Android;;;;sessionStart;;6AggiKU6NWWINbC;ella_ultra;
13:34:48;;Android;;;;exerciseStart;Beinstrecker;6AggiKU6NWWINbC;ella_ultra;
13:34:48;2022-03-03T13:34:48.826Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:34:48;2022-03-03T13:34:48.824Z;ultrasonic_foot_3-4;112.0;;;;;;;
13:34:48;2022-03-03T13:34:48.830Z;ultrasonic_foot_1-2;150.0;;;;;;;
13:34:48;2022-03-03T13:34:48.839Z;gyro_bar;0.0;-0.01;1.0;;;;;
13:34:48;2022-03-03T13:34:48.879Z;ultrasonic_cable_left;168.0;;;;;;;
13:34:48;2022-03-03T13:34:48.887Z;ultrasonic_cable_right;138.0;;;;;;;
13:34:48;2022-03-03T13:34:48.880Z;gyro_bench_top;0.9;-5.07;119.32;;;;;
13:34:48;2022-03-03T13:34:48.918Z;ultrasonic_foot_5-6;993.0;;;;;;;
13:34:48;2022-03-03T13:34:48.929Z;gyro_cable_left;0.02;0.0;1.0;;;;;
13:34:48;2022-03-03T13:34:48.934Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:34:48;2022-03-03T13:34:48.921Z;ultrasonic_top;156.0;;;;;;;
13:34:49;2022-03-03T13:34:49.035Z;gyro_cable_right;0.0;-0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.056Z;ultrasonic_foot_3-4;142.0;;;;;;;
13:34:49;2022-03-03T13:34:49.058Z;ultrasonic_foot_1-2;79.0;;;;;;;
13:34:49;2022-03-03T13:34:49.048Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.112Z;ultrasonic_cable_left;161.0;;;;;;;
13:34:49;2022-03-03T13:34:49.121Z;ultrasonic_cable_right;176.0;;;;;;;
13:34:49;2022-03-03T13:34:49.089Z;gyro_bench_top;0.91;-5.08;119.3;;;;;
13:34:49;2022-03-03T13:34:49.138Z;gyro_cable_left;-0.02;-0.0;0.99;;;;;
13:34:49;2022-03-03T13:34:49.152Z;ultrasonic_foot_5-6;163.0;;;;;;;
13:34:49;2022-03-03T13:34:49.143Z;gyro_bench_legs;0.03;-0.01;1.0;;;;;
13:34:49;2022-03-03T13:34:49.154Z;ultrasonic_top;161.0;;;;;;;
13:34:49;2022-03-03T13:34:49.244Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.257Z;gyro_bar;0.0;-0.01;1.0;;;;;
13:34:49;2022-03-03T13:34:49.286Z;ultrasonic_foot_1-2;79.0;;;;;;;
13:34:49;2022-03-03T13:34:49.287Z;ultrasonic_foot_3-4;141.0;;;;;;;
13:34:49;2022-03-03T13:34:49.298Z;gyro_bench_top;1.07;-5.28;119.29;;;;;
13:34:49;2022-03-03T13:34:49.347Z;gyro_cable_left;-0.01;-0.0;0.99;;;;;
13:34:49;2022-03-03T13:34:49.354Z;ultrasonic_cable_right;160.0;;;;;;;
13:34:49;2022-03-03T13:34:49.345Z;ultrasonic_cable_left;168.0;;;;;;;
13:34:49;2022-03-03T13:34:49.352Z;gyro_bench_legs;0.02;-0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.390Z;ultrasonic_foot_5-6;255.0;;;;;;;
13:34:49;2022-03-03T13:34:49.387Z;ultrasonic_top;168.0;;;;;;;
13:34:49;2022-03-03T13:34:49.453Z;gyro_cable_right;-0.01;0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.466Z;gyro_bar;-0.0;-0.0;0.99;;;;;
13:34:49;2022-03-03T13:34:49.514Z;ultrasonic_foot_1-2;79.0;;;;;;;
13:34:49;2022-03-03T13:34:49.514Z;ultrasonic_foot_3-4;86.0;;;;;;;
13:34:49;2022-03-03T13:34:49.507Z;gyro_bench_top;1.09;-5.18;119.3;;;;;
13:34:49;2022-03-03T13:34:49.556Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:34:49;2022-03-03T13:34:49.578Z;ultrasonic_cable_left;169.0;;;;;;;
13:34:49;2022-03-03T13:34:49.561Z;gyro_bench_legs;0.01;-0.02;1.01;;;;;
13:34:49;2022-03-03T13:34:49.636Z;ultrasonic_cable_right;1007.0;;;;;;;
13:34:49;2022-03-03T13:34:49.662Z;gyro_cable_right;0.0;-0.0;1.01;;;;;
13:34:49;2022-03-03T13:34:49.620Z;ultrasonic_top;152.0;;;;;;;
13:34:49;2022-03-03T13:34:49.671Z;ultrasonic_foot_5-6;993.0;;;;;;;
13:34:49;2022-03-03T13:34:49.675Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.742Z;ultrasonic_foot_1-2;83.0;;;;;;;
13:34:49;2022-03-03T13:34:49.716Z;gyro_bench_top;1.0;-5.08;119.32;;;;;
13:34:49;2022-03-03T13:34:49.765Z;gyro_cable_left;0.01;-0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.770Z;gyro_bench_legs;0.01;-0.01;1.01;;;;;
13:34:49;2022-03-03T13:34:49.796Z;ultrasonic_foot_3-4;1004.0;;;;;;;
13:34:49;2022-03-03T13:34:49.812Z;ultrasonic_cable_left;181.0;;;;;;;
13:34:49;2022-03-03T13:34:49.871Z;gyro_cable_right;-0.01;0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.872Z;ultrasonic_cable_right;202.0;;;;;;;
13:34:49;2022-03-03T13:34:49.853Z;ultrasonic_top;170.0;;;;;;;
13:34:49;2022-03-03T13:34:49.886Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:34:49;2022-03-03T13:34:49.911Z;ultrasonic_foot_5-6;269.0;;;;;;;
13:34:49;2022-03-03T13:34:49.925Z;gyro_bench_top;1.03;-5.06;119.69;;;;;
