Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:01:16;;Android;;;;sessionStart;;UlRrhM1JjLyab7a;ella_ultra;
13:01:25;;Android;;;;exerciseStart;Biceps Curl;UlRrhM1JjLyab7a;ella_ultra;
13:01:25;2022-03-03T13:01:25.705Z;ultrasonic_cable_left;168.0;;;;;;;
13:01:25;2022-03-03T13:01:25.659Z;gyro_cable_right;0.0;0.01;1.0;;;;;
13:01:25;2022-03-03T13:01:25.714Z;ultrasonic_cable_right;162.0;;;;;;;
13:01:25;2022-03-03T13:01:25.702Z;ultrasonic_top;136.0;;;;;;;
13:01:25;2022-03-03T13:01:25.720Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:01:25;2022-03-03T13:01:25.797Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:01:25;2022-03-03T13:01:25.794Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:01:25;2022-03-03T13:01:25.847Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:01:25;2022-03-03T13:01:25.860Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:01:25;2022-03-03T13:01:25.853Z;gyro_bench_top;-0.04;0.13;-1.25;;;;;
13:01:25;2022-03-03T13:01:25.904Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:01:25;2022-03-03T13:01:25.868Z;gyro_cable_right;0.01;-0.0;1.0;;;;;
13:01:25;2022-03-03T13:01:25.938Z;ultrasonic_cable_left;160.0;;;;;;;
13:01:25;2022-03-03T13:01:25.947Z;ultrasonic_cable_right;163.0;;;;;;;
13:01:25;2022-03-03T13:01:25.929Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
13:01:26;2022-03-03T13:01:25.936Z;ultrasonic_top;182.0;;;;;;;
13:01:26;2022-03-03T13:01:26.024Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:01:26;2022-03-03T13:01:26.069Z;gyro_cable_left;-0.01;-0.0;0.99;;;;;
13:01:26;2022-03-03T13:01:26.076Z;ultrasonic_foot_3-4;951.0;;;;;;;
13:01:26;2022-03-03T13:01:26.076Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:01:26;2022-03-03T13:01:26.062Z;gyro_bench_top;-0.03;0.18;-1.25;;;;;
13:01:26;2022-03-03T13:01:26.113Z;gyro_bar;0.0;-0.0;1.0;;;;;
13:01:26;2022-03-03T13:01:26.077Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:01:26;2022-03-03T13:01:26.138Z;gyro_bench_legs;0.01;-0.0;0.99;;;;;
13:01:26;2022-03-03T13:01:26.172Z;ultrasonic_cable_left;165.0;;;;;;;
13:01:26;2022-03-03T13:01:26.180Z;ultrasonic_cable_right;162.0;;;;;;;
13:01:26;2022-03-03T13:01:26.168Z;ultrasonic_top;126.0;;;;;;;
13:01:26;2022-03-03T13:01:26.254Z;ultrasonic_foot_5-6;110.0;;;;;;;
13:01:26;2022-03-03T13:01:26.278Z;gyro_cable_left;-0.0;0.01;1.0;;;;;
13:01:26;2022-03-03T13:01:26.306Z;ultrasonic_foot_3-4;89.0;;;;;;;
13:01:26;2022-03-03T13:01:26.271Z;gyro_bench_top;-0.02;0.14;-1.27;;;;;
13:01:26;2022-03-03T13:01:26.322Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:01:26;2022-03-03T13:01:26.305Z;ultrasonic_foot_1-2;103.0;;;;;;;
13:01:26;2022-03-03T13:01:26.286Z;gyro_cable_right;0.0;0.01;1.0;;;;;
13:01:26;2022-03-03T13:01:26.347Z;gyro_bench_legs;-0.0;-0.0;1.0;;;;;
13:01:26;2022-03-03T13:01:26.404Z;ultrasonic_cable_left;168.0;;;;;;;
13:01:26;2022-03-03T13:01:26.402Z;ultrasonic_top;195.0;;;;;;;
