Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:27:48;;Android;;;;sessionStart;;AAXyeiTkzm4fp5t;ella_ultra;
13:27:57;;Android;;;;exerciseStart;Brustpresse;AAXyeiTkzm4fp5t;ella_ultra;
13:27:57;2022-03-03T13:27:57.071Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:27:57;2022-03-03T13:27:57.106Z;gyro_bench_top;1.81;34.99;104.66;;;;;
13:27:57;2022-03-03T13:27:57.040Z;ultrasonic_foot_1-2;107.0;;;;;;;
13:27:57;2022-03-03T13:27:57.137Z;gyro_cable_left;0.02;0.01;1.01;;;;;
13:27:57;2022-03-03T13:27:57.160Z;gyro_bench_legs;0.02;0.0;1.0;;;;;
13:27:57;2022-03-03T13:27:57.118Z;ultrasonic_foot_3-4;109.0;;;;;;;
13:27:57;2022-03-03T13:27:57.195Z;ultrasonic_top;109.0;;;;;;;
13:27:57;2022-03-03T13:27:57.128Z;ultrasonic_cable_left;143.0;;;;;;;
13:27:57;2022-03-03T13:27:57.191Z;ultrasonic_cable_right;139.0;;;;;;;
13:27:57;2022-03-03T13:27:57.168Z;ultrasonic_foot_5-6;993.0;;;;;;;
13:27:57;2022-03-03T13:27:57.204Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
13:27:57;2022-03-03T13:27:57.280Z;gyro_bar;0.0;0.0;1.01;;;;;
13:27:57;2022-03-03T13:27:57.265Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:27:57;2022-03-03T13:27:57.315Z;gyro_bench_top;1.79;34.99;104.66;;;;;
13:27:57;2022-03-03T13:27:57.346Z;gyro_cable_left;0.02;0.01;1.0;;;;;
13:27:57;2022-03-03T13:27:57.369Z;gyro_bench_legs;0.02;0.01;1.0;;;;;
13:27:57;2022-03-03T13:27:57.348Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:27:57;2022-03-03T13:27:57.360Z;ultrasonic_cable_left;152.0;;;;;;;
13:27:57;2022-03-03T13:27:57.422Z;ultrasonic_cable_right;142.0;;;;;;;
13:27:57;2022-03-03T13:27:57.413Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:27:57;2022-03-03T13:27:57.426Z;ultrasonic_top;125.0;;;;;;;
13:27:57;2022-03-03T13:27:57.489Z;gyro_bar;-0.0;-0.0;1.0;;;;;
13:27:57;2022-03-03T13:27:57.449Z;ultrasonic_foot_5-6;993.0;;;;;;;
13:27:57;2022-03-03T13:27:57.524Z;gyro_bench_top;1.79;34.97;104.63;;;;;
13:27:57;2022-03-03T13:27:57.495Z;ultrasonic_foot_1-2;108.0;;;;;;;
13:27:57;2022-03-03T13:27:57.578Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
13:27:57;2022-03-03T13:27:57.578Z;ultrasonic_foot_3-4;109.0;;;;;;;
13:27:57;2022-03-03T13:27:57.593Z;ultrasonic_cable_left;161.0;;;;;;;
13:27:57;2022-03-03T13:27:57.654Z;ultrasonic_cable_right;159.0;;;;;;;
13:27:57;2022-03-03T13:27:57.657Z;ultrasonic_top;123.0;;;;;;;
13:27:57;2022-03-03T13:27:57.622Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:27:57;2022-03-03T13:27:57.698Z;gyro_bar;-0.01;-0.0;1.01;;;;;
13:27:57;2022-03-03T13:27:57.733Z;gyro_bench_top;1.7;34.97;104.59;;;;;
13:27:57;2022-03-03T13:27:57.681Z;ultrasonic_foot_5-6;134.0;;;;;;;
13:27:57;2022-03-03T13:27:57.721Z;ultrasonic_foot_1-2;53.0;;;;;;;
13:27:57;2022-03-03T13:27:57.787Z;gyro_bench_legs;0.03;-0.0;0.99;;;;;
13:27:57;2022-03-03T13:27:57.831Z;gyro_cable_right;-0.01;0.01;1.02;;;;;
13:27:57;2022-03-03T13:27:57.808Z;ultrasonic_foot_3-4;108.0;;;;;;;
13:27:57;2022-03-03T13:27:57.825Z;ultrasonic_cable_left;148.0;;;;;;;
