Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
12:46:57;;Android;;;;sessionStart;;9LYD4cGFfCYN08w;ella_ultra;
12:47:11;;Android;;;;exerciseStart;Crossover;9LYD4cGFfCYN08w;ella_ultra;
12:47:11;2022-03-03T12:47:11.773Z;gyro_cable_left;-0.01;-0.01;0.99;;;;;
12:47:11;2022-03-03T12:47:11.761Z;ultrasonic_cable_left;157.0;;;;;;;
12:47:11;2022-03-03T12:47:11.806Z;ultrasonic_top;214.0;;;;;;;
12:47:11;2022-03-03T12:47:11.765Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:47:11;2022-03-03T12:47:11.767Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:47:11;2022-03-03T12:47:11.797Z;ultrasonic_cable_right;140.0;;;;;;;
12:47:11;2022-03-03T12:47:11.820Z;gyro_bench_top;0.56;-0.33;-7.11;;;;;
12:47:11;2022-03-03T12:47:11.803Z;gyro_bar;0.0;0.0;0.99;;;;;
12:47:11;2022-03-03T12:47:11.852Z;gyro_cable_right;-0.0;-0.0;1.01;;;;;
12:47:11;2022-03-03T12:47:11.881Z;gyro_bench_legs;0.0;-0.01;1.01;;;;;
12:47:12;2022-03-03T12:47:11.952Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:47:12;2022-03-03T12:47:11.982Z;gyro_cable_left;-0.02;-0.01;1.0;;;;;
12:47:12;2022-03-03T12:47:11.995Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:47:12;2022-03-03T12:47:11.995Z;ultrasonic_cable_left;201.0;;;;;;;
12:47:12;2022-03-03T12:47:12.029Z;gyro_bench_top;0.55;-0.2;-7.08;;;;;
12:47:12;2022-03-03T12:47:11.996Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:47:12;2022-03-03T12:47:12.040Z;ultrasonic_top;183.0;;;;;;;
12:47:12;2022-03-03T12:47:12.012Z;gyro_bar;-0.0;-0.0;0.99;;;;;
12:47:12;2022-03-03T12:47:12.032Z;ultrasonic_cable_right;212.0;;;;;;;
12:47:12;2022-03-03T12:47:12.061Z;gyro_cable_right;-0.01;-0.0;1.01;;;;;
12:47:12;2022-03-03T12:47:12.090Z;gyro_bench_legs;0.01;-0.01;1.01;;;;;
12:47:12;2022-03-03T12:47:12.191Z;gyro_cable_left;-0.0;0.01;1.0;;;;;
12:47:12;2022-03-03T12:47:12.182Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:47:12;2022-03-03T12:47:12.238Z;gyro_bench_top;0.59;-0.25;-7.06;;;;;
12:47:12;2022-03-03T12:47:12.221Z;gyro_bar;-0.0;-0.0;1.0;;;;;
12:47:12;2022-03-03T12:47:12.224Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:47:12;2022-03-03T12:47:12.227Z;ultrasonic_cable_left;150.0;;;;;;;
12:47:12;2022-03-03T12:47:12.270Z;gyro_cable_right;-0.0;0.01;1.01;;;;;
12:47:12;2022-03-03T12:47:12.299Z;gyro_bench_legs;0.01;-0.0;1.01;;;;;
12:47:12;2022-03-03T12:47:12.272Z;ultrasonic_top;153.0;;;;;;;
12:47:12;2022-03-03T12:47:12.225Z;ultrasonic_foot_3-4;107.0;;;;;;;
12:47:12;2022-03-03T12:47:12.263Z;ultrasonic_cable_right;135.0;;;;;;;
12:47:12;2022-03-03T12:47:12.400Z;gyro_cable_left;-0.0;-0.0;1.0;;;;;
12:47:12;2022-03-03T12:47:12.447Z;gyro_bench_top;0.47;-0.27;-7.08;;;;;
12:47:12;2022-03-03T12:47:12.412Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:47:12;2022-03-03T12:47:12.430Z;gyro_bar;-0.0;-0.0;0.99;;;;;
12:47:12;2022-03-03T12:47:12.453Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:47:12;2022-03-03T12:47:12.455Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:47:12;2022-03-03T12:47:12.479Z;gyro_cable_right;-0.01;0.0;1.0;;;;;
12:47:12;2022-03-03T12:47:12.460Z;ultrasonic_cable_left;158.0;;;;;;;
