Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
12:42:25;;Android;;;;sessionStart;;tFAxoxCjg1bpTAS;ella_ultra;
12:43:48;;Android;;;;exerciseStart;Crossover;tFAxoxCjg1bpTAS;ella_ultra;
12:43:48;2022-03-03T12:43:48.343Z;gyro_bench_top;0.81;-0.69;-7.11;;;;;
12:43:48;2022-03-03T12:43:48.360Z;ultrasonic_foot_3-4;109.0;;;;;;;
12:43:48;2022-03-03T12:43:48.373Z;ultrasonic_foot_5-6;109.0;;;;;;;
12:43:48;2022-03-03T12:43:48.416Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:43:48;2022-03-03T12:43:48.432Z;gyro_cable_left;0.01;0.01;1.0;;;;;
12:43:48;2022-03-03T12:43:48.433Z;gyro_bar;0.0;0.0;0.99;;;;;
12:43:48;2022-03-03T12:43:48.500Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
12:43:48;2022-03-03T12:43:48.487Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
12:43:48;2022-03-03T12:43:48.519Z;ultrasonic_cable_left;214.0;;;;;;;
12:43:48;2022-03-03T12:43:48.552Z;gyro_bench_top;0.78;-0.71;-7.04;;;;;
12:43:48;2022-03-03T12:43:48.534Z;ultrasonic_top;203.0;;;;;;;
12:43:48;2022-03-03T12:43:48.548Z;ultrasonic_cable_right;176.0;;;;;;;
12:43:48;2022-03-03T12:43:48.590Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:43:48;2022-03-03T12:43:48.603Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:43:48;2022-03-03T12:43:48.641Z;gyro_cable_left;0.02;0.01;1.01;;;;;
12:43:48;2022-03-03T12:43:48.642Z;gyro_bar;0.0;-0.0;1.0;;;;;
12:43:48;2022-03-03T12:43:48.647Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:43:48;2022-03-03T12:43:48.709Z;gyro_bench_legs;-0.0;-0.01;1.0;;;;;
12:43:48;2022-03-03T12:43:48.696Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
12:43:48;2022-03-03T12:43:48.761Z;gyro_bench_top;0.81;-0.71;-7.01;;;;;
12:43:48;2022-03-03T12:43:48.754Z;ultrasonic_cable_left;192.0;;;;;;;
12:43:48;2022-03-03T12:43:48.783Z;ultrasonic_cable_right;212.0;;;;;;;
12:43:48;2022-03-03T12:43:48.819Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:43:48;2022-03-03T12:43:48.768Z;ultrasonic_top;186.0;;;;;;;
12:43:48;2022-03-03T12:43:48.850Z;gyro_cable_left;0.01;-0.0;0.99;;;;;
12:43:48;2022-03-03T12:43:48.833Z;ultrasonic_foot_5-6;117.0;;;;;;;
12:43:48;2022-03-03T12:43:48.851Z;gyro_bar;-0.0;0.0;1.0;;;;;
12:43:48;2022-03-03T12:43:48.918Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
12:43:48;2022-03-03T12:43:48.875Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:43:48;2022-03-03T12:43:48.905Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
12:43:48;2022-03-03T12:43:48.970Z;gyro_bench_top;0.76;-0.66;-6.94;;;;;
12:43:49;2022-03-03T12:43:48.988Z;ultrasonic_cable_left;180.0;;;;;;;
12:43:49;2022-03-03T12:43:49.017Z;ultrasonic_cable_right;179.0;;;;;;;
12:43:49;2022-03-03T12:43:49.004Z;ultrasonic_top;214.0;;;;;;;
12:43:49;2022-03-03T12:43:49.059Z;gyro_cable_left;-0.02;-0.01;0.99;;;;;
12:43:49;2022-03-03T12:43:49.048Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:43:49;2022-03-03T12:43:49.060Z;gyro_bar;-0.0;-0.0;0.99;;;;;
12:43:49;2022-03-03T12:43:49.063Z;ultrasonic_foot_5-6;117.0;;;;;;;
12:43:49;2022-03-03T12:43:49.127Z;gyro_bench_legs;0.01;-0.01;1.01;;;;;
12:43:49;2022-03-03T12:43:49.114Z;gyro_cable_right;0.0;0.0;1.0;;;;;
12:43:49;2022-03-03T12:43:49.105Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:43:49;2022-03-03T12:43:49.180Z;gyro_bench_top;0.69;-0.68;-6.92;;;;;
12:43:49;2022-03-03T12:43:49.223Z;ultrasonic_cable_left;199.0;;;;;;;
12:43:49;2022-03-03T12:43:49.253Z;ultrasonic_cable_right;211.0;;;;;;;
12:43:49;2022-03-03T12:43:49.268Z;gyro_cable_left;-0.01;-0.0;1.0;;;;;
12:43:49;2022-03-03T12:43:49.238Z;ultrasonic_top;184.0;;;;;;;
12:43:49;2022-03-03T12:43:49.269Z;gyro_bar;0.0;-0.0;1.0;;;;;
12:43:49;2022-03-03T12:43:49.278Z;ultrasonic_foot_3-4;109.0;;;;;;;
12:43:49;2022-03-03T12:43:49.293Z;ultrasonic_foot_5-6;109.0;;;;;;;
12:43:49;2022-03-03T12:43:49.336Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
12:43:49;2022-03-03T12:43:49.323Z;gyro_cable_right;0.0;0.0;1.01;;;;;
