Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:11:17;;Android;;;;sessionStart;;rxM4TEIuIi0IKLd;ella_ultra;
13:11:41;;Android;;;;exerciseStart;Squats;rxM4TEIuIi0IKLd;ella_ultra;
13:11:41;2022-03-03T13:11:41.863Z;gyro_cable_right;-0.0;0.01;1.01;;;;;
13:11:41;2022-03-03T13:11:41.858Z;gyro_bar;0.0;-0.0;0.99;;;;;
13:11:41;2022-03-03T13:11:41.853Z;gyro_bench_top;0.69;0.55;3.49;;;;;
13:11:41;2022-03-03T13:11:41.892Z;ultrasonic_foot_5-6;115.0;;;;;;;
13:11:41;2022-03-03T13:11:41.916Z;gyro_cable_left;0.03;0.01;1.01;;;;;
13:11:41;2022-03-03T13:11:41.922Z;ultrasonic_top;184.0;;;;;;;
13:11:41;2022-03-03T13:11:41.913Z;ultrasonic_cable_left;174.0;;;;;;;
13:11:41;2022-03-03T13:11:41.913Z;gyro_bench_legs;-0.0;-0.0;1.0;;;;;
13:11:41;2022-03-03T13:11:41.948Z;ultrasonic_foot_3-4;103.0;;;;;;;
13:11:42;2022-03-03T13:11:41.958Z;ultrasonic_foot_1-2;103.0;;;;;;;
13:11:42;2022-03-03T13:11:41.980Z;ultrasonic_cable_right;1007.0;;;;;;;
13:11:42;2022-03-03T13:11:42.072Z;gyro_cable_right;0.0;0.01;1.01;;;;;
13:11:42;2022-03-03T13:11:42.067Z;gyro_bar;-0.0;-0.0;0.99;;;;;
13:11:42;2022-03-03T13:11:42.062Z;gyro_bench_top;0.72;0.65;3.48;;;;;
13:11:42;2022-03-03T13:11:42.125Z;gyro_cable_left;-0.02;-0.01;1.0;;;;;
13:11:42;2022-03-03T13:11:42.122Z;ultrasonic_foot_5-6;114.0;;;;;;;
13:11:42;2022-03-03T13:11:42.122Z;gyro_bench_legs;-0.0;-0.01;1.0;;;;;
13:11:42;2022-03-03T13:11:42.157Z;ultrasonic_top;188.0;;;;;;;
