Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
13:06:53;;Android;;;;sessionStart;;vcZkrj1XUs7bbRA;ella_ultra;
13:07:12;;Android;;;;exerciseStart;Squats;vcZkrj1XUs7bbRA;ella_ultra;
13:07:12;2022-03-03T13:07:12.236Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:07:12;2022-03-03T13:07:12.245Z;gyro_cable_right;-0.0;0.01;1.01;;;;;
13:07:12;2022-03-03T13:07:12.210Z;gyro_bench_top;0.01;0.45;5.25;;;;;
13:07:12;2022-03-03T13:07:12.280Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
13:07:12;2022-03-03T13:07:12.302Z;ultrasonic_cable_left;170.0;;;;;;;
13:07:12;2022-03-03T13:07:12.323Z;ultrasonic_cable_right;126.0;;;;;;;
13:07:12;2022-03-03T13:07:12.313Z;ultrasonic_top;187.0;;;;;;;
13:07:12;2022-03-03T13:07:12.363Z;gyro_cable_left;-0.03;-0.01;1.0;;;;;
13:07:12;2022-03-03T13:07:12.358Z;ultrasonic_foot_3-4;107.0;;;;;;;
13:07:12;2022-03-03T13:07:12.435Z;ultrasonic_foot_5-6;111.0;;;;;;;
13:07:12;2022-03-03T13:07:12.454Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
13:07:12;2022-03-03T13:07:12.445Z;gyro_bar;-0.0;0.0;1.0;;;;;
13:07:12;2022-03-03T13:07:12.419Z;gyro_bench_top;-0.02;0.49;5.24;;;;;
13:07:12;2022-03-03T13:07:12.456Z;ultrasonic_foot_1-2;102.0;;;;;;;
13:07:12;2022-03-03T13:07:12.489Z;gyro_bench_legs;0.01;-0.01;0.99;;;;;
13:07:12;2022-03-03T13:07:12.535Z;ultrasonic_cable_left;162.0;;;;;;;
13:07:12;2022-03-03T13:07:12.556Z;ultrasonic_cable_right;169.0;;;;;;;
13:07:12;2022-03-03T13:07:12.546Z;ultrasonic_top;170.0;;;;;;;
13:07:12;2022-03-03T13:07:12.572Z;gyro_cable_left;-0.01;0.0;1.01;;;;;
13:07:12;2022-03-03T13:07:12.588Z;ultrasonic_foot_3-4;107.0;;;;;;;
13:07:12;2022-03-03T13:07:12.654Z;gyro_bar;-0.0;0.0;1.01;;;;;
13:07:12;2022-03-03T13:07:12.663Z;gyro_cable_right;0.0;0.0;1.0;;;;;
13:07:12;2022-03-03T13:07:12.628Z;gyro_bench_top;-0.07;0.48;5.23;;;;;
