Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
12:58:58;;Android;;;;sessionStart;;8VXGsecoUHIa8F7;ella_ultra;
12:59:07;;Android;;;;exerciseStart;Trizepskabelzug;8VXGsecoUHIa8F7;ella_ultra;
12:59:07;2022-03-03T12:59:07.205Z;ultrasonic_cable_left;202.0;;;;;;;
12:59:07;2022-03-03T12:59:07.266Z;ultrasonic_cable_right;216.0;;;;;;;
12:59:07;2022-03-03T12:59:07.276Z;ultrasonic_top;208.0;;;;;;;
12:59:07;2022-03-03T12:59:07.275Z;gyro_bench_top;0.16;0.16;-2.2;;;;;
12:59:07;2022-03-03T12:59:07.237Z;gyro_bar;-0.0;-0.0;1.0;;;;;
12:59:07;2022-03-03T12:59:07.277Z;gyro_cable_left;0.02;0.0;1.0;;;;;
12:59:07;2022-03-03T12:59:07.292Z;gyro_cable_right;0.0;0.0;1.0;;;;;
12:59:07;2022-03-03T12:59:07.349Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
12:59:07;2022-03-03T12:59:07.377Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:59:07;2022-03-03T12:59:07.349Z;ultrasonic_foot_3-4;102.0;;;;;;;
12:59:07;2022-03-03T12:59:07.388Z;ultrasonic_foot_5-6;114.0;;;;;;;
12:59:07;2022-03-03T12:59:07.484Z;gyro_bench_top;0.06;0.21;-2.14;;;;;
12:59:07;2022-03-03T12:59:07.440Z;ultrasonic_cable_left;206.0;;;;;;;
12:59:07;2022-03-03T12:59:07.502Z;ultrasonic_cable_right;208.0;;;;;;;
12:59:07;2022-03-03T12:59:07.447Z;gyro_bar;-0.0;-0.0;1.0;;;;;
12:59:07;2022-03-03T12:59:07.501Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
12:59:07;2022-03-03T12:59:07.558Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
12:59:07;2022-03-03T12:59:07.511Z;ultrasonic_top;187.0;;;;;;;
12:59:07;2022-03-03T12:59:07.578Z;ultrasonic_foot_3-4;95.0;;;;;;;
12:59:07;2022-03-03T12:59:07.606Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:59:07;2022-03-03T12:59:07.618Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:59:07;2022-03-03T12:59:07.693Z;gyro_bench_top;0.05;0.25;-2.12;;;;;
12:59:07;2022-03-03T12:59:07.656Z;gyro_bar;-0.0;-0.0;1.0;;;;;
12:59:07;2022-03-03T12:59:07.736Z;ultrasonic_cable_right;202.0;;;;;;;
12:59:07;2022-03-03T12:59:07.676Z;ultrasonic_cable_left;210.0;;;;;;;
12:59:07;2022-03-03T12:59:07.746Z;ultrasonic_top;189.0;;;;;;;
12:59:07;2022-03-03T12:59:07.710Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
12:59:07;2022-03-03T12:59:07.767Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
12:59:07;2022-03-03T12:59:07.808Z;ultrasonic_foot_3-4;107.0;;;;;;;
12:59:07;2022-03-03T12:59:07.836Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:59:07;2022-03-03T12:59:07.848Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:59:07;2022-03-03T12:59:07.903Z;gyro_bench_top;-0.07;0.23;-2.1;;;;;
12:59:07;2022-03-03T12:59:07.865Z;gyro_bar;0.0;-0.01;1.0;;;;;
12:59:07;2022-03-03T12:59:07.919Z;gyro_cable_right;0.0;0.0;1.01;;;;;
12:59:07;2022-03-03T12:59:07.910Z;ultrasonic_cable_left;203.0;;;;;;;
12:59:08;2022-03-03T12:59:07.981Z;ultrasonic_top;200.0;;;;;;;
12:59:08;2022-03-03T12:59:07.971Z;ultrasonic_cable_right;206.0;;;;;;;
12:59:08;2022-03-03T12:59:07.976Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
12:59:08;2022-03-03T12:59:08.037Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:59:08;2022-03-03T12:59:08.065Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:59:08;2022-03-03T12:59:08.112Z;gyro_bench_top;-0.09;0.22;-2.13;;;;;
12:59:08;2022-03-03T12:59:07.486Z;gyro_cable_left;-0.0;-0.0;1.0;;;;;
12:59:08;2022-03-03T12:59:07.694Z;gyro_cable_left;-0.0;0.01;1.01;;;;;
12:59:08;2022-03-03T12:59:07.902Z;gyro_cable_left;0.02;0.0;0.99;;;;;
12:59:08;2022-03-03T12:59:08.074Z;gyro_bar;0.0;0.0;1.0;;;;;
12:59:08;2022-03-03T12:59:08.110Z;gyro_cable_left;0.01;0.0;0.99;;;;;
12:59:08;2022-03-03T12:59:08.078Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:59:08;2022-03-03T12:59:08.128Z;gyro_cable_right;-0.0;0.01;1.01;;;;;
12:59:08;2022-03-03T12:59:08.185Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
12:59:08;2022-03-03T12:59:08.145Z;ultrasonic_cable_left;205.0;;;;;;;
12:59:08;2022-03-03T12:59:08.206Z;ultrasonic_cable_right;199.0;;;;;;;
12:59:08;2022-03-03T12:59:08.216Z;ultrasonic_top;201.0;;;;;;;
12:59:08;2022-03-03T12:59:08.321Z;gyro_bench_top;-0.15;0.15;-2.01;;;;;
12:59:08;2022-03-03T12:59:08.294Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:59:08;2022-03-03T12:59:08.266Z;ultrasonic_foot_3-4;95.0;;;;;;;
12:59:08;2022-03-03T12:59:08.319Z;gyro_cable_left;0.02;0.0;1.0;;;;;
12:59:08;2022-03-03T12:59:08.283Z;gyro_bar;0.0;0.0;1.0;;;;;
12:59:08;2022-03-03T12:59:08.337Z;gyro_cable_right;-0.0;-0.0;1.0;;;;;
12:59:08;2022-03-03T12:59:08.308Z;ultrasonic_foot_5-6;110.0;;;;;;;
12:59:08;2022-03-03T12:59:08.394Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
12:59:08;2022-03-03T12:59:08.380Z;ultrasonic_cable_left;205.0;;;;;;;
12:59:08;2022-03-03T12:59:08.451Z;ultrasonic_top;200.0;;;;;;;
12:59:08;2022-03-03T12:59:08.441Z;ultrasonic_cable_right;199.0;;;;;;;
