Time Received;Time Measured;Client;Value;ValueTwo;ValueThree;Command;Exercise;SessionId;UserName;Info
12:49:10;;Android;;;;sessionStart;;zeOXMpSJUXF7SuT;ella_ultra;
12:50:03;;Android;;;;exerciseStart;Trizepskabelzug;zeOXMpSJUXF7SuT;ella_ultra;
12:50:03;2022-03-03T12:50:03.787Z;gyro_cable_left;0.01;0.0;1.01;;;;;
12:50:03;2022-03-03T12:50:03.804Z;ultrasonic_cable_right;272.0;;;;;;;
12:50:03;2022-03-03T12:50:03.791Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:50:03;2022-03-03T12:50:03.841Z;gyro_bench_top;0.53;-0.04;-8.66;;;;;
12:50:03;2022-03-03T12:50:03.810Z;ultrasonic_top;146.0;;;;;;;
12:50:03;2022-03-03T12:50:03.817Z;gyro_bar;0.0;0.0;1.01;;;;;
12:50:03;2022-03-03T12:50:03.867Z;gyro_cable_right;0.0;0.01;1.01;;;;;
12:50:03;2022-03-03T12:50:03.850Z;ultrasonic_cable_left;210.0;;;;;;;
12:50:03;2022-03-03T12:50:03.907Z;gyro_bench_legs;0.0;-0.0;1.01;;;;;
12:50:04;2022-03-03T12:50:03.942Z;ultrasonic_foot_5-6;174.0;;;;;;;
12:50:04;2022-03-03T12:50:03.996Z;gyro_cable_left;-0.02;-0.0;0.99;;;;;
12:50:04;2022-03-03T12:50:03.943Z;ultrasonic_foot_3-4;109.0;;;;;;;
12:50:04;2022-03-03T12:50:04.036Z;ultrasonic_cable_right;154.0;;;;;;;
12:50:04;2022-03-03T12:50:04.020Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:50:04;2022-03-03T12:50:04.050Z;gyro_bench_top;0.53;0.02;-8.6;;;;;
12:50:04;2022-03-03T12:50:04.026Z;gyro_bar;0.0;0.0;1.0;;;;;
12:50:04;2022-03-03T12:50:04.076Z;gyro_cable_right;-0.01;-0.0;1.01;;;;;
12:50:04;2022-03-03T12:50:04.116Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
12:50:04;2022-03-03T12:50:04.084Z;ultrasonic_cable_left;203.0;;;;;;;
12:50:04;2022-03-03T12:50:04.171Z;ultrasonic_foot_5-6;118.0;;;;;;;
12:50:04;2022-03-03T12:50:04.172Z;ultrasonic_foot_3-4;98.0;;;;;;;
12:50:04;2022-03-03T12:50:04.205Z;gyro_cable_left;0.02;0.0;1.01;;;;;
12:50:04;2022-03-03T12:50:04.045Z;ultrasonic_top;202.0;;;;;;;
12:50:04;2022-03-03T12:50:04.259Z;gyro_bench_top;0.49;0.05;-8.65;;;;;
12:50:04;2022-03-03T12:50:04.235Z;gyro_bar;0.0;-0.0;1.0;;;;;
12:50:04;2022-03-03T12:50:04.281Z;ultrasonic_top;203.0;;;;;;;
12:50:04;2022-03-03T12:50:04.285Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
12:50:04;2022-03-03T12:50:04.272Z;ultrasonic_cable_right;222.0;;;;;;;
12:50:04;2022-03-03T12:50:04.249Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:50:04;2022-03-03T12:50:04.325Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
12:50:04;2022-03-03T12:50:04.317Z;ultrasonic_cable_left;167.0;;;;;;;
12:50:04;2022-03-03T12:50:04.414Z;gyro_cable_left;0.02;0.01;1.0;;;;;
12:50:04;2022-03-03T12:50:04.401Z;ultrasonic_foot_5-6;108.0;;;;;;;
12:50:04;2022-03-03T12:50:04.402Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:50:04;2022-03-03T12:50:04.468Z;gyro_bench_top;0.53;0.04;-8.65;;;;;
12:50:04;2022-03-03T12:50:04.444Z;gyro_bar;0.0;-0.0;1.0;;;;;
12:50:04;2022-03-03T12:50:04.507Z;ultrasonic_cable_right;203.0;;;;;;;
12:50:04;2022-03-03T12:50:04.513Z;ultrasonic_top;156.0;;;;;;;
12:50:04;2022-03-03T12:50:04.494Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
12:50:04;2022-03-03T12:50:04.534Z;gyro_bench_legs;0.01;-0.01;1.0;;;;;
12:50:04;2022-03-03T12:50:04.478Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:50:04;2022-03-03T12:50:04.552Z;ultrasonic_cable_left;200.0;;;;;;;
12:50:04;2022-03-03T12:50:04.623Z;gyro_cable_left;-0.01;-0.01;1.0;;;;;
12:50:04;2022-03-03T12:50:04.631Z;ultrasonic_foot_5-6;108.0;;;;;;;
12:50:04;2022-03-03T12:50:04.677Z;gyro_bench_top;0.58;0.05;-8.65;;;;;
12:50:04;2022-03-03T12:50:04.653Z;gyro_bar;0.0;-0.0;1.01;;;;;
12:50:04;2022-03-03T12:50:04.703Z;gyro_cable_right;-0.0;0.0;1.01;;;;;
12:50:04;2022-03-03T12:50:04.632Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:50:04;2022-03-03T12:50:04.743Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
12:50:04;2022-03-03T12:50:04.707Z;ultrasonic_foot_1-2;104.0;;;;;;;
12:50:04;2022-03-03T12:50:04.739Z;ultrasonic_cable_right;153.0;;;;;;;
12:50:04;2022-03-03T12:50:04.749Z;ultrasonic_top;214.0;;;;;;;
12:50:04;2022-03-03T12:50:04.787Z;ultrasonic_cable_left;201.0;;;;;;;
12:50:04;2022-03-03T12:50:04.832Z;gyro_cable_left;0.0;0.01;0.99;;;;;
12:50:04;2022-03-03T12:50:04.886Z;gyro_bench_top;0.59;0.02;-8.64;;;;;
12:50:04;2022-03-03T12:50:04.862Z;gyro_bar;-0.0;-0.0;1.0;;;;;
12:50:04;2022-03-03T12:50:04.861Z;ultrasonic_foot_5-6;108.0;;;;;;;
12:50:04;2022-03-03T12:50:04.862Z;ultrasonic_foot_3-4;108.0;;;;;;;
12:50:04;2022-03-03T12:50:04.912Z;gyro_cable_right;0.0;0.0;1.01;;;;;
12:50:04;2022-03-03T12:50:04.952Z;gyro_bench_legs;-0.0;-0.01;1.0;;;;;
12:50:04;2022-03-03T12:50:04.936Z;ultrasonic_foot_1-2;102.0;;;;;;;
12:50:05;2022-03-03T12:50:05.041Z;gyro_cable_left;0.02;0.01;1.0;;;;;
12:50:05;2022-03-03T12:50:05.022Z;ultrasonic_cable_left;201.0;;;;;;;
12:50:05;2022-03-03T12:50:04.974Z;ultrasonic_cable_right;201.0;;;;;;;
12:50:05;2022-03-03T12:50:04.984Z;ultrasonic_top;196.0;;;;;;;
12:50:05;2022-03-03T12:50:05.095Z;gyro_bench_top;0.52;0.0;-8.68;;;;;
12:50:05;2022-03-03T12:50:05.071Z;gyro_bar;0.01;-0.0;1.0;;;;;
12:50:05;2022-03-03T12:50:05.091Z;ultrasonic_foot_5-6;112.0;;;;;;;
12:50:05;2022-03-03T12:50:05.121Z;gyro_cable_right;-0.0;0.01;1.0;;;;;
12:50:05;2022-03-03T12:50:05.161Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
12:50:05;2022-03-03T12:50:05.092Z;ultrasonic_foot_3-4;109.0;;;;;;;
12:50:05;2022-03-03T12:50:05.209Z;ultrasonic_cable_right;199.0;;;;;;;
12:50:05;2022-03-03T12:50:05.166Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:50:05;2022-03-03T12:50:05.219Z;ultrasonic_top;195.0;;;;;;;
12:50:05;2022-03-03T12:50:05.250Z;gyro_cable_left;0.0;0.0;1.0;;;;;
12:50:05;2022-03-03T12:50:05.257Z;ultrasonic_cable_left;202.0;;;;;;;
12:50:05;2022-03-03T12:50:05.304Z;gyro_bench_top;0.57;0.01;-8.69;;;;;
12:50:05;2022-03-03T12:50:05.280Z;gyro_bar;0.0;-0.0;1.0;;;;;
12:50:05;2022-03-03T12:50:05.330Z;gyro_cable_right;-0.0;0.01;1.0;;;;;
12:50:05;2022-03-03T12:50:05.321Z;ultrasonic_foot_5-6;108.0;;;;;;;
12:50:05;2022-03-03T12:50:05.370Z;gyro_bench_legs;0.01;-0.0;1.0;;;;;
12:50:05;2022-03-03T12:50:05.322Z;ultrasonic_foot_3-4;107.0;;;;;;;
12:50:05;2022-03-03T12:50:05.459Z;gyro_cable_left;-0.01;0.0;1.0;;;;;
12:50:05;2022-03-03T12:50:05.395Z;ultrasonic_foot_1-2;103.0;;;;;;;
12:50:05;2022-03-03T12:50:05.445Z;ultrasonic_cable_right;225.0;;;;;;;
12:50:05;2022-03-03T12:50:05.454Z;ultrasonic_top;197.0;;;;;;;
12:50:05;2022-03-03T12:50:05.513Z;gyro_bench_top;0.59;-0.02;-8.73;;;;;
12:50:05;2022-03-03T12:50:05.489Z;gyro_bar;0.0;0.0;0.99;;;;;
12:50:05;2022-03-03T12:50:05.492Z;ultrasonic_cable_left;201.0;;;;;;;
12:50:05;2022-03-03T12:50:05.539Z;gyro_cable_right;-0.0;0.0;1.0;;;;;
12:50:05;2022-03-03T12:50:05.579Z;gyro_bench_legs;0.0;-0.01;1.0;;;;;
